ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
4/24/2019,11788,7.92000007629395,7.92000007629395,0,2.23000001907349,1.52999997138977,4.1399998664856,0,38,60,338,1004,2595,28,1237,931,74
4/25/2019,11585,7.76999998092651,7.76999998092651,0,0.28999999165535,2.6800000667572,4.76999998092651,0,9,126,328,977,2652,32,1237,1004,78
4/26/2019,12547,8.39999961853027,8.39999961853027,0,0.349999994039536,3.01999998092651,5,0,8,111,313,411,2550,31,1237,902,79
4/27/2019,11108,7.46000003814697,7.46000003814697,0,1.22000002861023,1.23000001907349,4.98999977111816,0,24,36,344,546,2407,24,1237,762,77
4/28/2019,15025,10.0900001525879,10.0900001525879,0,0.639999985694885,3.23000001907349,6.19999980926514,0,14,96,344,314,2528,38,1237,889,77
4/29/2019,9417,6.26999998092651,6.26999998092651,0,0,0,6.26000022888184,0,0,0,361,570,2223,32,1237,611,76
4/30/2019,7036,4.71999979019165,4.71999979019165,0,0.029999999329448,0.46000000834465,4.21999979019165,0,1,24,329,474,2233,13,1237,631,77
5/1/2019,5948,3.95000004768372,3.95000004768372,0,0.059999998658895,0.660000026226044,3.21000003814697,0,3,32,289,564,2160,7,1237,544,78
5/2/2019,5334,3.57999992370605,3.57999992370605,0,0,0,3.55999994277954,0,0,0,258,567,1855,8,1237,357,79
5/3/2019,9663,6.48999977111816,6.48999977111816,0,0.610000014305115,1.62999999523163,4.23999977111816,0,10,29,282,578,1962,23,1237,454,78
5/4/2019,10683,7.05999994277954,7.05999994277954,0,0.629999995231628,0.730000019073486,5.69000005722046,0,10,12,322,473,2053,24,1237,510,80
5/5/2019,8759,5.88000011444092,5.88000011444092,0,0,0,5.8600001335144,0,0,0,348,309,1927,23,1237,424,79
5/6/2019,9992,6.71000003814697,6.71000003814697,0,0.430000007152557,0.270000010728836,6,0,7,4,319,536,1931,27,1237,420,79
5/7/2019,5047,3.39000010490417,3.39000010490417,0,0,0,3.36999988555908,0,0,0,257,638,1733,18,1237,272,78
5/8/2019,8474,5.69000005722046,5.69000005722046,0,0,0,5.61999988555908,0,0,0,370,512,2005,23,1237,443,78
5/9/2019,8469,5.69000005722046,5.69000005722046,0,0.689999997615814,0.800000011920929,4.17999982833862,0,11,13,289,550,1901,24,1237,393,78
5/10/2019,8820,5.92000007629395,5.92000007629395,0,0,0,5.88000011444092,0,0,0,360,549,1970,24,1237,423,78
5/11/2019,7924,5.32000017166138,5.32000017166138,0,0,0,5.30000019073486,0,0,0,298,621,1865,11,1237,373,77
5/12/2019,8793,5.8899998664856,5.8899998664856,0,0,0,5.86999988555908,0,0,0,377,389,2037,13,1237,478,77
5/13/2019,9996,6.71000003814697,6.71000003814697,0,0.560000002384186,0.889999985694885,5.21999979019165,0,9,14,318,590,1960,25,1237,446,79
5/14/2019,7733,5.19000005722046,5.19000005722046,0,0.209999993443489,0.319999992847443,4.6399998664856,0,3,5,301,575,1836,21,1237,336,78
5/15/2019,9389,6.26999998092651,6.26999998092651,0,0.6700000166893,1.16999995708466,4.40999984741211,0,10,19,265,598,1955,19,1237,448,79
5/16/2019,10107,6.78999996185303,6.78999996185303,0,1.16999995708466,1.0900000333786,4.51000022888184,0,18,17,294,517,1987,27,1237,470,79
5/17/2019,10472,7.03000020980835,7.03000020980835,0,0,0,7.01000022888184,0,0,0,402,486,2042,31,1237,497,81
5/18/2019,12803,8.59000015258789,8.59000015258789,0,0,0,8.56999969482422,0,0,0,503,413,2244,21,1237,606,82
5/19/2019,10669,7.17000007629395,7.17000007629395,0,1.22000002861023,1.54999995231628,4.34000015258789,0,20,27,268,520,1962,37,1237,465,81
5/20/2019,8276,5.55999994277954,5.55999994277954,0,0,0,5.53999996185303,0,0,0,350,456,1937,27,1237,412,80
5/21/2019,6530,4.38000011444092,4.38000011444092,0,0,0,4.36999988555908,0,0,0,300,588,1801,11,1237,306,80
5/22/2019,11217,7.53000020980835,7.53000020980835,0,0.490000009536743,0.980000019073486,5.96999979019165,0,8,16,394,456,2120,27,1237,532,80
5/23/2019,6902,4.59000015258789,4.59000015258789,0,0,0,4.57999992370605,0,0,0,294,578,1800,14,1237,326,80
5/24/2019,6002,4.03000020980835,4.03000020980835,0,0,0,4.01000022888184,0,0,0,287,544,1819,13,1237,334,80
5/25/2019,10096,6.78000020980835,6.78000020980835,0,0,0,6.73999977111816,0,0,0,413,573,2077,24,1237,496,81
5/26/2019,6708,4.5,4.5,0,0,0,4.48999977111816,0,0,0,286,629,1809,18,1237,327,82
5/27/2019,9623,6.46000003814697,6.46000003814697,0,0,0,6.44000005722046,0,0,0,383,423,2009,19,1237,453,82
5/28/2019,7305,4.90999984741211,4.90999984741211,0,0.519999980926514,0.409999996423721,3.96000003814697,0,8,7,262,759,1840,31,1237,363,82
5/29/2019,9486,6.3600001335144,6.3600001335144,0,0,0,6.34000015258789,0,0,0,332,501,1959,19,1237,432,83
5/30/2019,9805,6.57999992370605,6.57999992370605,0,0.910000026226044,0.660000026226044,5,0,14,12,312,636,1999,38,1237,471,85
5/31/2019,7775,5.21999979019165,5.21999979019165,0,0,0,5.19999980926514,0,0,0,324,647,1883,21,1237,388,84
6/1/2019,10013,6.71999979019165,6.71999979019165,0,0,0,6.69999980926514,0,0,0,404,538,2051,20,1237,492,84
6/2/2019,9270,6.21000003814697,6.21000003814697,0,0.540000021457672,1.25999999046326,4.32999992370605,0,9,23,235,653,1869,27,1237,391,82
6/3/2019,7266,4.88000011444092,4.88000011444092,0,0.540000021457672,0.5799999833107,3.74000000953674,0,8,10,240,702,1779,24,1237,327,82
6/4/2019,6500,4.3600001335144,4.3600001335144,0,0.319999992847443,0.769999980926514,3.25999999046326,0,5,13,224,619,1773,22,1237,314,81
6/5/2019,10828,7.26999998092651,7.26999998092651,0,1.12000000476837,1.72000002861023,4.40999984741211,0,18,28,266,577,2006,30,1237,480,82
6/6/2019,9921,6.65999984741211,6.65999984741211,0,1.27999997138977,1.12000000476837,4.17000007629395,0,19,19,315,505,1996,24,1237,447,82
6/7/2019,7546,5.07000017166138,5.07000017166138,0,0,0,5.05000019073486,0,0,0,322,602,1897,20,1237,386,82
6/8/2019,9492,6.36999988555908,6.36999988555908,0,0,0,6.30000019073486,0,0,0,336,500,1943,18,1237,430,82
6/9/2019,6693,4.48999977111816,4.48999977111816,0,0,0,4.44000005722046,0,0,0,325,517,1879,19,1237,359,82
6/10/2019,6705,4.5,4.5,0,0,0,4.46000003814697,0,0,0,333,619,1857,15,1237,331,80
6/11/2019,12766,8.56999969482422,8.56999969482422,0,1.12999999523163,1.19000005722046,6.23000001907349,0,18,19,382,527,2205,33,1237,618,79
6/12/2019,6406,4.30000019073486,4.30000019073486,0,0,0,4.28000020980835,0,0,0,291,591,1822,15,1237,344,79
6/13/2019,8834,5.92999982833862,5.92999982833862,0,0,0,5.90999984741211,0,0,0,360,439,1960,22,1237,416,80
6/14/2019,8320,5.59000015258789,5.59000015258789,0,0,0.270000010728836,5.30000019073486,0,0,6,328,467,1924,26,1237,411,79
6/15/2019,9016,6.05000019073486,6.05000019073486,0,0.419999986886978,1.26999998092651,4.28999996185303,0,7,24,279,438,1942,21,1237,425,79
6/16/2019,6729,4.51999998092651,4.51999998092651,0,0,0,4.48999977111816,0,0,0,283,444,1823,14,1237,340,79
6/17/2019,4805,3.23000001907349,3.23000001907349,0,0,0,3.21000003814697,0,0,0,228,697,1681,12,1237,251,79
6/18/2019,9650,6.48000001907349,6.48000001907349,0,1.17999994754791,0.709999978542328,4.57999992370605,0,18,13,237,632,1917,49,1237,448,80
6/19/2019,5573,3.73000001907349,3.73000001907349,0,0,0,3.73000001907349,0,0,0,283,582,1805,13,1237,307,80
6/20/2019,8530,5.73000001907349,5.73000001907349,0,0,0,5.71000003814697,0,0,0,356,525,1947,23,1237,435,82
6/21/2019,3217,2.16000008583069,2.16000008583069,0,0,0,2.15000009536743,0,0,0,170,852,1622,7,1237,229,82
6/22/2019,6533,4.3899998664856,4.3899998664856,0,0,0,4.34999990463257,0,0,0,284,543,1795,17,1237,317,82
6/23/2019,9585,6.44000005722046,6.44000005722046,0,0.839999973773956,1.26999998092651,4.30000019073486,0,13,20,264,309,1852,28,1233,390,80
6/24/2019,8347,5.59999990463257,5.59999990463257,0,0,0,5.59000015258789,0,0,0,353,644,1906,22,1233,390,79
6/25/2019,9599,6.44000005722046,6.44000005722046,0,0,0,6.42000007629395,0,0,0,387,519,2022,15,1233,481,79
6/26/2019,11182,7.5,7.5,0,1.08000004291534,0.930000007152557,5.46000003814697,0,17,16,378,550,2148,38,1233,580,80
6/27/2019,9221,6.19000005722046,6.19000005722046,0,0,0,6.17000007629395,0,0,0,401,559,1974,14,1233,425,80
6/28/2019,5946,3.99000000953674,3.99000000953674,0,0,0,3.98000001907349,0,0,0,273,534,1743,18,1233,273,80
6/29/2019,10594,7,7,0,0,0,6.98000001907349,0,0,0,427,427,2083,22,1233,524,79
6/30/2019,5580,3.75,3.75,0,0,0,3.73000001907349,0,0,0,218,707,1703,18,1233,294,81
7/1/2019,8990,6.03999996185303,6.03999996185303,0,0,0,6.01999998092651,0,0,0,342,680,1906,28,1233,408,81
7/2/2019,9996,6.71000003814697,6.71000003814697,0,0,0.340000003576279,6.34999990463257,0,0,9,376,500,2067,12,1233,513,80
7/3/2019,11763,7.90000009536743,7.90000009536743,0,0,0,7.8600001335144,0,0,0,459,552,2128,30,1233,527,80
7/4/2019,9622,6.46000003814697,6.46000003814697,0,0,0,6.44000005722046,0,0,0,401,430,2083,16,1233,518,82
7/5/2019,10049,6.75,6.75,0,0.059999998658895,0.28999999165535,6.38000011444092,0,1,6,395,596,2018,24,1233,467,83
7/6/2019,9984,6.57000017166138,6.57000017166138,0,0,0,6.53000020980835,0,0,0,411,446,2074,20,1233,506,82
7/7/2019,7982,5.3600001335144,5.3600001335144,0,0,0,5.28000020980835,0,0,0,350,774,1892,17,1233,380,82
7/8/2019,8722,5.8600001335144,5.8600001335144,0,0,0,5.84000015258789,0,0,0,344,580,1965,27,1233,448,82
7/9/2019,12174,8.17000007629395,8.17000007629395,0,0,0,8.14999961853027,0,0,0,472,438,2136,26,1233,547,80
7/10/2019,11725,7.86999988555908,7.86999988555908,0,0.699999988079071,0.730000019073486,6.40999984741211,0,11,11,377,488,2101,20,1233,538,79
7/11/2019,7577,5,5,0,0,0,5,0,0,0,343,1097,1884,14,1233,389,79
7/12/2019,5470,3.66000008583069,3.66000008583069,0,0,0,3.66000008583069,0,0,0,271,563,1750,14,1233,287,79
7/13/2019,6705,4.5,4.5,0,0,0,4.48000001907349,0,0,0,338,517,1897,20,1233,373,79
7/14/2019,8277,5.55999994277954,5.55999994277954,0,0,0,5.53999996185303,0,0,0,353,728,1947,20,1233,412,79
7/15/2019,9125,6.13000011444092,6.13000011444092,0,0,0,6.1100001335144,0,0,0,378,538,2023,22,1233,457,78
7/16/2019,8589,5.76999998092651,5.76999998092651,0,0,0,5.75,0,0,0,403,468,2039,15,1233,472,79
7/17/2019,7052,4.73000001907349,4.73000001907349,0,0,0,4.71999979019165,0,0,0,304,599,1892,20,1233,378,79
7/18/2019,8511,5.71000003814697,5.71000003814697,0,0,0,5.69999980926514,0,0,0,362,526,1962,13,1233,428,80
7/19/2019,10566,7.09000015258789,7.09000015258789,0,0,0,7.07000017166138,0,0,0,434,498,2124,37,1233,537,79
7/20/2019,12478,8.38000011444092,8.38000011444092,0,0.790000021457672,0.790000021457672,6.78000020980835,0,13,15,413,461,2186,24,1233,597,78
7/21/2019,8435,5.65999984741211,5.65999984741211,0,0,0,5.6399998664856,0,0,0,372,522,1964,17,1233,425,78
7/22/2019,8550,5.73999977111816,5.73999977111816,0,0,0,5.71999979019165,0,0,0,366,519,1992,21,1233,446,79
7/23/2019,6095,4.09000015258789,4.09000015258789,0,0,0,4.07999992370605,0,0,0,278,753,1787,17,1233,327,79
7/24/2019,7917,5.13000011444092,5.13000011444092,0,0,0,5.1100001335144,0,0,0,344,507,1900,15,1233,373,78
7/25/2019,11446,7.6399998664856,7.6399998664856,0,0.349999994039536,1.44000005722046,5.82999992370605,0,6,28,322,580,2109,29,1233,561,77
7/26/2019,10250,6.88000011444092,6.88000011444092,0,0.620000004768372,0.6700000166893,5.57999992370605,0,10,11,322,459,1993,21,1233,484,78
7/27/2019,9576,6.42999982833862,6.42999982833862,0,0.550000011920929,1.20000004768372,4.65999984741211,0,9,22,279,563,1942,20,1233,446,78
7/28/2019,7873,5.28999996185303,5.28999996185303,0,0,0,5.26999998092651,0,0,0,328,470,1963,15,1233,427,78
7/29/2019,6744,4.53000020980835,4.53000020980835,0,0.070000000298023,0.589999973773956,3.85999989509583,0,1,12,257,643,1842,16,1233,351,79
7/30/2019,5690,3.8199999332428,3.8199999332428,0,0,0,3.78999996185303,0,0,0,251,653,1730,10,1233,274,80
7/31/2019,6842,4.59000015258789,4.59000015258789,0,0,0,4.57999992370605,0,0,0,273,117,1795,18,1233,333,80
8/1/2019,5901,3.96000003814697,3.96000003814697,0,0,0,3.95000004768372,0,0,0,276,717,1793,12,1233,317,80
8/2/2019,9239,6.19999980926514,6.19999980926514,0,0,0,6.19000005722046,0,0,0,362,500,1980,30,1233,448,80
8/3/2019,12610,8.47000026702881,8.47000026702881,0,0,0,8.4399995803833,0,0,0,462,347,2213,20,1233,622,80
8/4/2019,8818,5.92000007629395,5.92000007629395,0,0,0,5.90000009536743,0,0,0,336,544,1900,12,1233,414,80
8/5/2019,7369,4.94999980926514,4.94999980926514,0,0,0,4.92999982833862,0,0,0,336,438,1836,15,1233,343,79
8/6/2019,11816,7.92999982833862,7.92999982833862,0,0,0,7.90999984741211,0,0,0,457,443,2192,21,1233,592,79
8/7/2019,7148,4.78000020980835,4.78000020980835,0,0,0,4.76999998092651,0,0,0,289,666,1834,21,1233,354,82
8/8/2019,8769,5.8899998664856,5.8899998664856,0,0.109999999403954,0.379999995231628,5.38000011444092,0,2,10,321,565,1919,28,1233,413,81
8/9/2019,10169,6.80000019073486,6.80000019073486,0,0,0,6.78000020980835,0,0,0,438,484,2052,12,1233,479,80
8/10/2019,8177,5.48999977111816,5.48999977111816,0,0,0,5.46999979019165,0,0,0,340,510,1916,15,1233,398,79
