SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
4/24/2019 12:00:00 AM,0,0,0,0,0,0,0
4/25/2019 12:00:00 AM,0,0,0,0,0,0,0
4/26/2019 12:00:00 AM,1,543,597,54,299,93,151
4/27/2019 12:00:00 AM,1,457,490,33,285,68,104
4/28/2019 12:00:00 AM,1,538,591,53,324,89,125
4/29/2019 12:00:00 AM,2,477,509,28,159,80,112
4/30/2019 12:00:00 AM,1,522,579,57,296,89,137
5/1/2019 12:00:00 AM,1,489,552,63,302,86,101
5/2/2019 12:00:00 AM,2,582,615,27,298,59,126
5/3/2019 12:00:00 AM,1,499,541,42,297,98,104
5/4/2019 12:00:00 AM,1,583,623,40,289,80,214
5/5/2019 12:00:00 AM,1,699,783,84,456,63,180
5/6/2019 12:00:00 AM,1,522,574,52,359,75,88
5/7/2019 12:00:00 AM,1,476,545,69,244,89,143
5/8/2019 12:00:00 AM,1,485,558,73,256,78,151
5/9/2019 12:00:00 AM,1,517,577,60,390,17,110
5/10/2019 12:00:00 AM,1,481,531,50,259,113,109
5/11/2019 12:00:00 AM,1,455,521,66,289,54,112
5/12/2019 12:00:00 AM,1,616,674,58,311,112,193
5/13/2019 12:00:00 AM,1,459,509,50,262,93,104
5/14/2019 12:00:00 AM,1,517,556,39,310,95,112
5/15/2019 12:00:00 AM,1,519,548,29,328,90,101
5/16/2019 12:00:00 AM,1,510,594,84,299,91,120
5/17/2019 12:00:00 AM,1,491,552,61,253,72,166
5/18/2019 12:00:00 AM,1,476,524,48,204,97,175
5/19/2019 12:00:00 AM,2,549,605,54,276,72,111
5/20/2019 12:00:00 AM,1,570,634,64,410,69,91
5/21/2019 12:00:00 AM,1,502,552,50,340,79,83
5/22/2019 12:00:00 AM,1,503,566,63,281,86,136
5/23/2019 12:00:00 AM,1,503,568,65,308,75,120
5/24/2019 12:00:00 AM,1,551,609,58,312,121,118
5/25/2019 12:00:00 AM,2,412,454,41,194,71,32
5/26/2019 12:00:00 AM,1,487,525,38,289,96,102
5/27/2019 12:00:00 AM,1,558,633,75,351,110,97
5/28/2019 12:00:00 AM,2,365,405,32,183,67,8
5/29/2019 12:00:00 AM,1,525,577,52,314,76,135
5/30/2019 12:00:00 AM,2,439,496,57,285,58,34
5/31/2019 12:00:00 AM,1,422,469,47,246,93,83
6/1/2019 12:00:00 AM,2,427,467,40,229,28,95
6/2/2019 12:00:00 AM,1,464,520,56,307,57,100
6/3/2019 12:00:00 AM,1,438,480,42,278,50,110
6/4/2019 12:00:00 AM,1,526,579,53,302,67,157
6/5/2019 12:00:00 AM,1,488,551,63,289,88,111
6/6/2019 12:00:00 AM,1,515,582,67,261,126,128
6/7/2019 12:00:00 AM,1,438,502,64,306,91,41
6/8/2019 12:00:00 AM,1,530,580,50,371,70,89
6/9/2019 12:00:00 AM,1,530,590,60,311,67,152
6/10/2019 12:00:00 AM,1,411,488,77,241,95,75
6/11/2019 12:00:00 AM,1,461,494,33,253,74,134
6/12/2019 12:00:00 AM,1,456,496,40,269,75,112
6/13/2019 12:00:00 AM,1,515,592,77,324,98,93
6/14/2019 12:00:00 AM,1,530,598,68,342,76,112
6/15/2019 12:00:00 AM,1,508,581,73,280,82,146
6/16/2019 12:00:00 AM,1,649,713,64,394,92,163
6/17/2019 12:00:00 AM,1,471,515,44,263,94,114
