ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
2/4/2019,3227,1.86000001430511,1.86000001430511,0,0,0,1.85000002384186,0,0,0,146,1294,1908,1,1469,242,62
2/5/2019,7348,4.48999977111816,4.48999977111816,0,0.189999997615814,0.300000011920929,3.98000001907349,0,3,6,280,794,2194,1,1469,422,68
2/6/2019,6706,4.11999988555908,4.11999988555908,0,0,0,4.1100001335144,0,0,0,368,764,2334,1,1469,451,68
2/7/2019,6438,3.92000007629395,3.92000007629395,0,0,0,3.90000009536743,0,0,0,344,836,2232,0,1469,412,71
2/8/2019,7113,4.36999988555908,4.36999988555908,0,0,0,4.3600001335144,0,0,0,379,748,2372,4,1469,504,71
2/9/2019,7666,4.67000007629395,4.67000007629395,0,0,0,4.65000009536743,0,0,0,325,901,2255,1,1469,465,70
2/10/2019,7055,4.34000015258789,4.34000015258789,0,0,0,4.32999992370605,0,0,0,240,876,2090,1,1469,376,69
2/11/2019,5553,3.42000007629395,3.42000007629395,0,0,0,3.40000009536743,0,0,0,299,756,2142,0,1469,371,69
2/12/2019,8578,5.23999977111816,5.23999977111816,0,0,0,5.21000003814697,0,0,0,341,973,2355,3,1469,526,72
2/13/2019,7241,4.32999992370605,4.32999992370605,0,0,0,4.30999994277954,0,0,0,364,850,2381,1,1469,502,72
2/14/2019,6393,3.9300000667572,3.9300000667572,0,0,0,3.92000007629395,0,0,0,315,735,2278,2,1469,433,72
2/15/2019,5118,3.15000009536743,3.15000009536743,0,0,0,3.13000011444092,0,0,0,306,885,2126,0,1469,342,71
2/16/2019,6127,3.76999998092651,3.76999998092651,0,0,0,3.75,0,0,0,316,859,2230,1,1469,419,73
2/17/2019,6735,4.11999988555908,4.11999988555908,0,0,0,4.09999990463257,0,0,0,255,840,2126,1,1469,373,73
2/18/2019,7232,4.44000005722046,4.44000005722046,0,0,0,4.42999982833862,0,0,0,379,704,2339,2,1469,467,75
2/19/2019,8657,5.30000019073486,5.30000019073486,0,0,0,2.38000011444092,0,0,0,159,1192,2239,2,1469,224,74
2/20/2019,13091,8.02999973297119,8.02999973297119,0,0,0,0,0,0,0,0,1440,2540,5,1469,0,
2/21/2019,7696,4.73000001907349,4.73000001907349,0,0,0,0,0,0,0,0,1440,2233,1,1469,0,
2/22/2019,6279,3.84999990463257,3.84999990463257,0,0,0,0,0,0,0,0,1440,2183,3,1469,0,
2/23/2019,5900,3.60999989509583,3.60999989509583,0,0,0,0.280000001192093,0,0,0,33,1407,2112,1,1469,48,73
2/24/2019,8009,4.92000007629395,4.92000007629395,0,0.25,0.430000007152557,4.23000001907349,0,4,9,253,1174,2228,12,1469,470,73
2/25/2019,6388,3.9300000667572,3.9300000667572,0,0,0,3.91000008583069,0,0,0,338,1102,2269,2,1469,421,73
2/26/2019,8925,5.30999994277954,5.30999994277954,0,0.170000001788139,0.699999988079071,4.42999982833862,0,3,13,286,1138,2281,0,1469,489,73
2/27/2019,10619,6.48000001907349,6.48000001907349,0,0,0,6.46000003814697,0,0,0,440,1000,2608,2,1469,664,73
2/28/2019,10474,6.44000005722046,6.44000005722046,0,0.310000002384186,1.1599999666214,4.94999980926514,0,5,22,282,1131,2369,1,1469,564,72
3/1/2019,5503,3.26999998092651,3.26999998092651,0,0,0,3.25999999046326,0,0,0,298,619,2162,1,1469,361,76
3/2/2019,10401,6.32000017166138,6.32000017166138,0,0,0,6.30000019073486,0,0,0,351,846,2379,3,1469,554,75
3/3/2019,14965,9.05000019073486,9.05000019073486,0,0,0.560000002384186,8.47000026702881,0,0,11,501,593,2845,2,1469,867,75
3/4/2019,6422,3.8199999332428,3.8199999332428,0,0,0,3.80999994277954,0,0,0,356,725,2261,1,1469,432,74
3/5/2019,9797,6.01999998092651,6.01999998092651,0,0,0,6.01000022888184,0,0,0,372,869,2382,0,1469,538,74
3/6/2019,4581,2.79999995231628,2.79999995231628,0,0,0,2.77999997138977,0,0,0,270,693,2090,0,1469,316,76
3/7/2019,6173,3.73000001907349,3.73000001907349,0,0,0,3.72000002861023,0,0,0,299,919,2145,1,1469,376,74
3/8/2019,7225,4.44000005722046,4.44000005722046,0,0,0,4.42999982833862,0,0,0,374,1066,2294,0,1469,475,
3/9/2019,12915,7.94000005722046,7.94000005722046,0,0,0,7.90999984741211,0,0,0,482,958,2615,1,1469,688,
3/10/2019,12144,7.28000020980835,7.28000020980835,0,0,0,7.26000022888184,0,0,0,491,723,2620,1,1469,683,74
3/11/2019,5321,3.26999998092651,3.26999998092651,0,0,0,3.25999999046326,0,0,0,303,787,2128,3,1469,357,73
3/12/2019,12996,7.92000007629395,7.92000007629395,0,0,0,7.90000009536743,0,0,0,542,706,2762,0,1469,764,72
3/13/2019,5115,3.14000010490417,3.14000010490417,0,0,0,3.13000011444092,0,0,0,290,739,2092,0,1469,335,72
3/14/2019,6297,3.86999988555908,3.86999988555908,0,0,0,3.85999989509583,0,0,0,309,707,2183,2,1469,391,71
3/15/2019,7103,4.32999992370605,4.32999992370605,0,0,0,4.32000017166138,0,0,0,330,605,2256,0,1469,455,70
3/16/2019,4463,2.74000000953674,2.74000000953674,0,0,0,2.73000001907349,0,0,0,246,799,2023,0,1469,296,69
3/17/2019,10189,6.23999977111816,6.23999977111816,0,0.360000014305115,0.52999997138977,5.34000015258789,0,6,12,268,825,2355,3,1469,571,68
3/18/2019,6373,3.92000007629395,3.92000007629395,0,0,0,3.90000009536743,0,0,0,295,673,2258,1,1469,462,68
3/19/2019,9999,6.17999982833862,6.17999982833862,0,1,0.230000004172325,4.94000005722046,0,14,5,270,944,2323,0,1469,546,68
3/20/2019,5430,3.33999991416931,3.33999991416931,0,0,0,3.32999992370605,0,0,0,281,864,2108,0,1469,340,68
3/21/2019,6475,3.98000001907349,3.98000001907349,0,0,0,3.97000002861023,0,0,0,360,754,2348,0,1469,484,68
3/22/2019,7068,4.34999990463257,4.34999990463257,0,0,0,4.32999992370605,0,0,0,368,631,2327,1,1469,487,68
3/23/2019,10735,6.59999990463257,6.59999990463257,0,0.129999995231628,0.340000003576279,6.1100001335144,0,2,7,317,781,2353,0,1469,592,70
3/24/2019,6102,3.75,3.75,0,0,0,3.74000000953674,0,0,0,211,838,2033,0,1469,338,71
3/25/2019,6365,3.92000007629395,3.92000007629395,0,0,0,3.90000009536743,0,0,0,370,763,2322,0,1469,446,70
3/26/2019,7612,4.67999982833862,4.67999982833862,0,0,0,4.65999984741211,0,0,0,310,898,2264,2,1469,453,70
3/27/2019,6722,4,4,0,0,0,3.98000001907349,0,0,0,343,898,2252,0,1469,437,69
3/28/2019,6448,3.72000002861023,3.72000002861023,0,0,0,3.71000003814697,0,0,0,314,827,2225,1,1469,413,69
3/29/2019,5922,3.64000010490417,3.64000010490417,0,0,0,3.63000011444092,0,0,0,294,784,2227,4,1469,411,72
3/30/2019,7385,4.53999996185303,4.53999996185303,0,0,0,4.51999998092651,0,0,0,305,849,2239,0,1469,440,73
3/31/2019,9374,5.73999977111816,5.73999977111816,0,0,0,5.73000001907349,0,0,0,338,755,2341,0,1469,523,72
4/1/2019,7722,4.75,4.75,0,0,0.330000013113022,4.40000009536743,0,0,8,397,764,2474,0,1469,559,72
4/2/2019,7468,4.55999994277954,4.55999994277954,0,0.280000001192093,0.270000010728836,4,0,5,7,256,887,2259,0,1469,478,74
4/3/2019,5788,3.55999994277954,3.55999994277954,0,0,0,3.54999995231628,0,0,0,314,747,2256,0,1469,418,74
4/4/2019,5146,3.17000007629395,3.17000007629395,0,0,0,3.15000009536743,0,0,0,320,802,2236,0,1469,387,74
4/5/2019,7691,4.73000001907349,4.73000001907349,0,0,0,4.71000003814697,0,0,0,377,713,2392,2,1469,503,74
4/6/2019,5376,3.29999995231628,3.29999995231628,0,0,0,3.28999996185303,0,0,0,230,884,2060,0,1469,343,73
4/7/2019,11646,7.1100001335144,7.1100001335144,0,0,0,7.07999992370605,0,0,0,471,694,2664,1,1469,703,74
4/8/2019,4755,2.82999992370605,2.82999992370605,0,0,0,2.8199999332428,0,0,0,292,834,2182,0,1469,378,70
4/9/2019,9462,5.80000019073486,5.80000019073486,0,0,0,5.78000020980835,0,0,0,391,861,2427,1,1469,557,72
4/10/2019,5393,3.3199999332428,3.3199999332428,0,0,0,3.28999996185303,0,0,0,312,698,2139,0,1469,361,72
4/11/2019,5300,3.17000007629395,3.17000007629395,0,0,0,3.15000009536743,0,0,0,299,813,2126,0,1469,341,71
4/12/2019,5593,3.44000005722046,3.44000005722046,0,0,0,3.42000007629395,0,0,0,324,687,2148,0,1469,350,71
4/13/2019,8601,5.28999996185303,5.28999996185303,0,0,0,5.26000022888184,0,0,0,345,772,2321,0,1469,503,69
4/14/2019,6047,3.72000002861023,3.72000002861023,0,0,0,3.66000008583069,0,0,0,242,871,2088,0,1469,359,68
4/15/2019,4901,3.00999999046326,3.00999999046326,0,0,0,3,0,0,0,296,786,2084,0,1469,329,68
4/16/2019,15101,9.18000030517578,9.18000030517578,0,0.209999993443489,0.200000002980232,8.75,0,4,4,517,698,2892,0,1469,889,68
4/17/2019,6449,3.96000003814697,3.96000003814697,0,0.639999985694885,0,3.30999994277954,0,10,0,343,767,2330,1,1469,519,67
4/18/2019,7534,4.42999982833862,4.42999982833862,0,0,0,4.40999984741211,0,0,0,347,832,2268,3,1469,455,67
4/19/2019,5841,3.58999991416931,3.58999991416931,0,0,0,3.57999992370605,0,0,0,310,892,2165,4,1469,393,65
4/20/2019,6195,3.80999994277954,3.80999994277954,0,0,0,3.78999996185303,0,0,0,297,866,2180,1,1469,394,63
4/21/2019,13432,8.14000034332275,8.14000034332275,0,0.889999985694885,1.33000004291534,5.90000009536743,0,14,27,354,673,2611,0,1469,753,63
4/22/2019,10223,5.63000011444092,5.63000011444092,0,0.759999990463257,0.259999990463257,4.59000015258789,0,33,15,404,429,2867,4,1469,931,63
4/23/2019,10055,6.03000020980835,6.03000020980835,0,0,0,6.01999998092651,0,0,0,365,719,2457,0,1469,608,66
4/24/2019,7936,4.80000019073486,4.80000019073486,0,0.52999997138977,0.28999999165535,3.96000003814697,0,15,7,335,803,2415,1,1469,591,64
4/25/2019,9494,5.57999992370605,5.57999992370605,0,0.589999973773956,0.860000014305115,4.11999988555908,0,15,29,330,572,2461,4,1469,643,63
4/26/2019,6398,3.9300000667572,3.9300000667572,0,0,0,3.92000007629395,0,0,0,345,645,2305,5,1469,464,63
4/27/2019,12539,7.69000005722046,7.69000005722046,0,0,0,7.65999984741211,0,0,0,498,572,2621,0,1469,707,63
4/28/2019,11449,7.01000022888184,7.01000022888184,0,0.379999995231628,0.189999997615814,6.42000007629395,0,6,5,403,726,2507,1,1469,646,62
4/29/2019,6555,4.01000022888184,4.01000022888184,0,0,0,4.01999998092651,0,0,0,352,738,2230,5,1469,413,61
4/30/2019,11475,7.05000019073486,7.05000019073486,0,0.370000004768372,1.16999995708466,5.5,0,6,27,313,777,2447,1,1469,638,61
5/1/2019,8414,5.17000007629395,5.17000007629395,0,0.5,0.680000007152557,3.97000002861023,0,15,28,377,701,2652,2,1469,738,59
5/2/2019,5547,3.15000009536743,3.15000009536743,0,0,0,3.14000010490417,0,0,0,315,797,2299,4,1469,432,60
5/3/2019,6487,3.95000004768372,3.95000004768372,0,0,0,3.91000008583069,0,0,0,315,917,2221,1,1469,412,60
5/4/2019,1738,1.07000005245209,1.07000005245209,0,0,0,1.05999994277954,0,0,0,104,1045,1708,0,1469,123,62
5/5/2019,7548,4.61999988555908,4.61999988555908,0,0,0,4.59999990463257,0,0,0,364,304,2299,2,1469,459,61
5/6/2019,9906,5.6100001335144,5.6100001335144,0,0.889999985694885,0.360000014305115,4.34999990463257,0,64,15,369,660,2875,2,1469,977,63
5/7/2019,9498,5.75,5.75,0,0,0,5.73000001907349,0,0,0,393,846,2440,4,1469,582,64
5/8/2019,9226,5.48999977111816,5.48999977111816,0,0.870000004768372,0.519999980926514,4.07999992370605,0,22,28,377,681,2587,1,1469,716,64
5/9/2019,15046,9.25,9.25,0,3.83999991416931,1.0900000333786,4.28999996185303,0,86,37,336,603,3076,24,1469,1144,65
5/10/2019,6562,4.03999996185303,4.03999996185303,0,0,0,3.99000000953674,0,0,0,351,701,2285,2,1469,457,65
5/11/2019,6542,4.01999998092651,4.01999998092651,0,0.330000013113022,0.180000007152557,3.5,0,5,4,238,882,2117,4,1469,387,64
5/12/2019,11153,6.84000015258789,6.84000015258789,0,0.930000007152557,0.550000011920929,5.34999990463257,0,15,12,328,752,2470,1,1469,653,63
5/13/2019,5375,3.30999994277954,3.30999994277954,0,0,0,3.28999996185303,0,0,0,286,716,2098,0,1469,345,63
5/14/2019,10217,6.25,6.25,0,0.379999995231628,0.379999995231628,5.32000017166138,0,6,9,392,801,2479,5,1469,609,66
5/15/2019,7710,4.69999980926514,4.69999980926514,0,0,0,4.67999982833862,0,0,0,407,806,2368,2,1469,497,67
5/16/2019,10425,6.30999994277954,6.30999994277954,0,1.37000000476837,0.150000005960464,4.78000020980835,0,25,5,391,579,2556,3,1469,663,68
5/17/2019,6642,4.03999996185303,4.03999996185303,0,0,0,4.01999998092651,0,0,0,338,653,2221,0,1469,418,66
5/18/2019,10896,6.57000017166138,6.57000017166138,0,0,0,6.55000019073486,0,0,0,416,716,2534,0,1469,656,66
5/19/2019,9978,6.11999988555908,6.11999988555908,0,1.35000002384186,1.37999999523163,3.36999988555908,0,21,32,272,792,2382,2,1469,581,65
5/20/2019,9369,5.59000015258789,5.59000015258789,0,0.939999997615814,0.300000011920929,4.32999992370605,0,25,14,391,928,2627,1,1469,732,65
5/21/2019,8715,5.3600001335144,5.3600001335144,0,0,0,5.34000015258789,0,0,0,363,897,2368,2,1469,536,64
5/22/2019,3960,2.39000010490417,2.39000010490417,0,0,0,2.38000011444092,0,0,0,213,713,1905,0,1469,235,63
5/23/2019,9661,5.8600001335144,5.8600001335144,0,0.209999993443489,0.509999990463257,5.09999990463257,0,4,14,439,704,2565,6,1469,637,62
5/24/2019,9206,5.57999992370605,5.57999992370605,0,0,0.349999994039536,5.21000003814697,0,0,9,376,769,2587,5,1469,641,61
5/25/2019,5672,3.33999991416931,3.33999991416931,0,0,0,3.32999992370605,0,0,0,331,780,2326,5,1469,435,63
5/26/2019,9635,5.92000007629395,5.92000007629395,0,0,0,5.90000009536743,0,0,0,430,551,2511,12,1469,613,64
5/27/2019,9039,5.57000017166138,5.57000017166138,0,0,0,5.55000019073486,0,0,0,422,810,2403,3,1469,539,64
5/28/2019,8598,5.28999996185303,5.28999996185303,0,0,0,5.26000022888184,0,0,0,404,677,2428,9,1469,548,64
5/29/2019,4959,2.96000003814697,2.96000003814697,0,0,0,2.95000004768372,0,0,0,245,830,2130,7,1469,368,63
5/30/2019,7878,4.84000015258789,4.84000015258789,0,0,0,4.82000017166138,0,0,0,421,576,2523,7,1469,553,63
