ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
12/6/2019,16747,9.93999958,9.93999958,0,0,0,0.449999988,0,0,0,36,1404,2175,21,1064,40,
12/7/2019,8524,4.579999924,4.579999924,0,0,0,4.570000172,0,0,0,294,788,1612,22,1064,285,63
12/8/2019,3144,1.710000038,1.710000038,0,0,0,1.700000048,0,0,0,120,823,1332,7,1064,144,65
12/9/2019,13177,7.829999924,7.829999924,0,0.550000012,1.00999999,6.25,0,10,31,380,448,1968,12,1064,560,65
12/10/2019,18040,10.68999958,10.68999958,0,2.74000001,2.089999914,5.829999924,0,61,68,336,0,2204,16,1064,758,65
12/11/2019,16896,10.03999996,10.03999996,0,1.649999976,2,6.360000134,0,32,61,358,89,2089,20,1064,647,65
12/12/2019,13608,8.029999733,8.029999733,0,0.239999995,0.870000005,6.900000095,0,6,32,351,607,1929,26,1064,535,65
12/13/2019,17969,10.68000031,10.68000031,0,2.380000114,2.220000029,6.050000191,0,60,83,335,897,2309,26,1064,851,64
12/14/2019,15135,8.989999771,8.989999771,0,2.190000057,2.220000029,4.559999943,0,71,107,308,495,2303,21,1064,834,62
12/15/2019,11007,6.349999905,6.349999905,0,0.469999999,0.519999981,5.340000153,0,17,29,371,510,2004,12,1064,567,62
12/16/2019,17345,10.23999977,10.23999977,0,2.380000114,1.929999948,5.920000076,0,45,64,384,611,2229,22,1064,767,63
12/17/2019,10208,6.03000021,6.03000021,0,1.25,1.320000052,3.450000048,0,25,53,257,518,1883,20,1064,529,64
12/18/2019,20590,12.22000027,12.22000027,0,2.079999924,3.430000067,6.690000057,0,46,113,388,386,2482,20,1064,959,64
12/19/2019,15006,8.920000076,8.920000076,0,0.170000002,0.730000019,7.989999771,0,5,22,480,408,2111,21,1064,635,64
12/20/2019,16532,9.770000458,9.770000458,0,0.409999996,1.169999957,8.170000076,0,16,54,464,448,2309,15,1064,781,64
12/21/2019,7655,4.380000114,4.380000114,0,0,0,4.360000134,0,0,0,329,615,1666,10,1064,291,64
12/22/2019,9854,5.840000153,5.840000153,0,0,0.189999998,5.630000114,0,0,10,354,1076,1834,9,1064,438,65
12/23/2019,15549,9.229999542,9.229999542,0,1.330000043,0.400000006,7.340000153,0,32,15,385,569,2084,21,1064,635,65
12/24/2019,11277,6.570000172,6.570000172,0,0.370000005,0.49000001,5.679999828,0,12,39,411,501,2079,8,1064,602,65
12/25/2019,6736,3.859999895,3.859999895,0,0,0,3.839999914,0,0,0,348,711,1655,2,1064,249,69
12/26/2019,9362,5.510000229,5.510000229,0,0.550000012,0.280000001,4.659999847,0,9,6,322,633,1696,5,1064,326,68
