SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
5/20/2019 12:00:00 AM,1,227,253,26,195,5,27
5/21/2019 12:00:00 AM,1,395,457,62,198,47,150
5/22/2019 12:00:00 AM,0,0,0,0,0,0,0
5/23/2019 12:00:00 AM,0,0,0,0,0,0,0
5/24/2019 12:00:00 AM,1,260,299,39,247,7,6
5/25/2019 12:00:00 AM,1,237,262,25,175,39,23
5/26/2019 12:00:00 AM,1,364,433,69,243,34,87
5/27/2019 12:00:00 AM,1,315,348,33,242,21,52
5/28/2019 12:00:00 AM,1,372,424,52,283,19,70
5/29/2019 12:00:00 AM,1,163,179,0,0,0,0
5/30/2019 12:00:00 AM,1,372,405,33,239,74,59
5/31/2019 12:00:00 AM,1,503,579,76,405,0,98
6/1/2019 12:00:00 AM,1,387,447,60,255,41,91
6/2/2019 12:00:00 AM,1,298,334,36,200,16,82
6/3/2019 12:00:00 AM,2,579,642,61,337,40,89
6/4/2019 12:00:00 AM,1,198,229,31,132,23,43
6/5/2019 12:00:00 AM,2,491,553,59,288,33,89
6/6/2019 12:00:00 AM,1,286,336,50,227,35,24
6/7/2019 12:00:00 AM,1,222,255,33,141,6,75
6/8/2019 12:00:00 AM,1,445,505,60,323,39,83
6/9/2019 12:00:00 AM,2,469,522,53,342,46,81
6/10/2019 12:00:00 AM,2,355,397,30,148,6,37
6/11/2019 12:00:00 AM,2,256,289,26,155,0,38
6/12/2019 12:00:00 AM,1,308,346,38,244,5,59
6/13/2019 12:00:00 AM,1,304,343,39,198,27,79
6/14/2019 12:00:00 AM,2,500,588,85,304,17,64
6/15/2019 12:00:00 AM,1,474,534,60,354,39,81
6/16/2019 12:00:00 AM,1,142,163,0,0,0,0
6/17/2019 12:00:00 AM,1,432,500,68,274,33,125
6/18/2019 12:00:00 AM,1,422,476,54,330,45,47
6/19/2019 12:00:00 AM,1,356,413,57,284,12,60
6/20/2019 12:00:00 AM,1,355,392,37,239,32,84
6/21/2019 12:00:00 AM,1,396,450,54,282,9,105
6/22/2019 12:00:00 AM,1,430,500,70,368,19,43
