ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
11/19/2019,5737,3.96000003814697,3.96000003814697,0,1.16999995708466,0.790000021457672,2,0,16,13,120,1291,1806,13,1374,304,68
11/20/2019,8848,6.15999984741211,6.15999984741211,0,1.42999994754791,0.360000014305115,4.3600001335144,0,22,15,285,517,2319,33,1374,656,65
11/21/2019,8199,5.65999984741211,5.65999984741211,0,0.939999997615814,0.540000021457672,4.03000020980835,0,21,19,194,551,2140,37,1374,531,67
11/22/2019,7336,5.03000020980835,5.03000020980835,0,2.47000002861023,0.980000019073486,1.58000004291534,0,34,15,99,462,1901,17,1374,371,69
11/23/2019,4261,2.94000005722046,2.94000005722046,0,0,0,2.92000007629395,0,0,0,203,628,1875,3,1374,319,71
11/24/2019,5346,3.69000005722046,3.69000005722046,0,0.209999993443489,0.219999998807907,3.25,0,3,7,204,653,1978,10,1374,377,68
11/25/2019,11024,7.55000019073486,7.55000019073486,0,0.77999997138977,0.540000021457672,6.21000003814697,0,16,14,346,353,2412,24,1374,692,71
11/26/2019,8730,5.92999982833862,5.92999982833862,0,2.36999988555908,1.26999998092651,2.27999997138977,0,32,21,150,792,2015,17,1374,446,71
11/27/2019,10368,7.1399998664856,7.1399998664856,0,0.5799999833107,0.330000013113022,6.21999979019165,0,8,5,251,655,2182,26,1374,578,72
11/28/2019,4791,2.91000008583069,2.91000008583069,0,0.300000011920929,0.009999999776483,2.58999991416931,0,22,4,157,782,1954,5,1374,403,73
11/29/2019,13309,9.14000034332275,9.14000034332275,2.49688005447388,4.5,1.23000001907349,3.40000009536743,0,62,24,204,529,2356,36,1374,708,72
11/30/2019,7233,4.98999977111816,4.98999977111816,0,0,0,4.98000001907349,0,0,0,323,569,2179,10,1374,487,75
12/1/2019,6906,4.71999979019165,4.71999979019165,0,0,0,4.69999980926514,0,0,0,273,743,2005,6,1374,388,76
12/2/2019,9092,6.28000020980835,6.28000020980835,0,0.469999998807907,0.109999999403954,5.67999982833862,0,8,3,315,530,2239,28,1374,572,75
12/3/2019,8973,6.19000005722046,6.19000005722046,0,0.009999999776483,0,6.17000007629395,0,6,3,315,615,2279,21,1374,629,74
12/4/2019,11174,7.69000005722046,7.69000005722046,0,3.57999992370605,0.930000007152557,3.16000008583069,0,48,19,189,669,2194,43,1374,585,72
12/5/2019,5549,3.82999992370605,3.82999992370605,0,0,0,3.8199999332428,0,0,0,220,706,1935,12,1374,337,72
12/6/2019,15000,11.0200004577637,11.0200004577637,0,3.70000004768372,0.46000000834465,6.76000022888184,0,36,10,289,550,2678,64,1374,976,72
12/7/2019,21695,15.1499996185303,15.1499996185303,5.24925994873047,9.09000015258789,2.4300000667572,3.60999989509583,0,116,39,176,557,2656,72,1374,983,73
