ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
3/9/2020,3627,2.47000002861023,2.47000002861023,0,0,0,2.46000003814697,0,0,0,147,943,1726,1,1391,202,66
3/10/2020,6971,4.67999982833862,4.67999982833862,0,0,0,4.67000007629395,0,0,0,233,862,1955,13,1391,353,66
3/11/2020,4870,3.25999999046326,3.25999999046326,0,0,0,3.25,0,0,0,215,774,1845,4,1391,278,65
3/12/2020,7358,4.98999977111816,4.98999977111816,0,0,0,4.98000001907349,0,0,0,217,889,1968,15,1391,377,68
3/13/2020,8960,6.05999994277954,6.05999994277954,0,0,0,6.05000019073486,0,0,0,286,1154,2122,10,1391,456,67
3/14/2020,4227,2.86999988555908,2.86999988555908,0,0,0,2.85999989509583,0,0,0,209,673,1842,7,1391,255,67
3/15/2020,8957,5.98999977111816,5.98999977111816,0,0,0,5.96999979019165,0,0,0,346,640,2148,11,1391,466,66
3/16/2020,9984,6.71000003814697,6.71000003814697,0,1.58000004291534,0.949999988079071,4.17000007629395,0,24,14,179,872,2046,23,1391,462,69
3/17/2020,10245,6.90999984741211,6.90999984741211,0,1.24000000953674,1.04999995231628,4.6100001335144,0,18,17,194,753,2070,16,1391,464,68
3/18/2020,11027,7.5,7.5,0,1.32000005245209,0.75,5.42000007629395,0,19,11,197,685,2095,30,1391,502,67
3/19/2020,8788,5.96000003814697,5.96000003814697,0,0.629999995231628,0.439999997615814,4.86999988555908,0,10,8,164,817,1998,23,1391,406,66
3/20/2020,10226,6.94999980926514,6.94999980926514,0,0.660000026226044,0.959999978542328,5.32999992370605,0,10,16,228,745,2125,24,1391,487,64
3/21/2020,9517,6.46999979019165,6.46999979019165,0,0.28999999165535,0.330000013113022,5.76000022888184,0,4,6,328,1102,2210,8,1391,503,
