ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
2/6/2019,6519,4.40000009536743,4.40000009536743,0,0.259999990463257,0.660000026226044,3.29999995231628,0.079999998211861,4,13,243,1180,1794,9,1119,375,70
2/7/2019,8260,5.44999980926514,5.44999980926514,0,0,0,5.42999982833862,0,0,0,336,781,2078,10,1228,481,69
2/8/2019,5048,3.32999992370605,3.32999992370605,0,0,0,3.30999994277954,0,0,0,275,826,1908,3,1264,366,70
2/9/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1330,0,1282,0,
2/10/2019,5456,3.5699999332428,3.5699999332428,0,0,0,3.48000001907349,0,0,0,279,734,2003,8,1293,376,68
2/11/2019,4909,3.25,3.25,0,0,0,3.23000001907349,0,0,0,265,754,1928,5,1300,339,67
2/12/2019,4800,3.17000007629395,3.17000007629395,0,0,0,3.16000008583069,0,0,0,232,965,1869,5,1306,303,65
2/13/2019,8924,5.8899998664856,5.8899998664856,0,0.019999999552965,0.019999999552965,5.82999992370605,0,3,6,446,985,2450,6,1309,695,66
2/14/2019,6078,4.01999998092651,4.01999998092651,0,0.059999998658895,0.239999994635582,3.70000004768372,0,1,8,279,849,2056,3,1312,441,67
2/15/2019,7679,5.05000019073486,5.05000019073486,0,0,0,5.03999996185303,0,0,0,358,1082,2234,10,1315,534,66
2/16/2019,4873,3.22000002861023,3.22000002861023,0,0,0,3.21000003814697,0,0,0,253,748,2085,9,1317,417,66
2/17/2019,2954,1.95000004768372,1.95000004768372,0,0,0,1.94000005722046,0,0,0,164,1276,1765,3,1319,215,67
2/18/2019,6369,4.21000003814697,4.21000003814697,0,0.009999999776483,0,4.17999982833862,0,1,9,316,1114,2198,8,1320,511,68
2/19/2019,7064,4.67000007629395,4.67000007629395,0,0,0,4.65999984741211,0,0,0,304,922,2128,9,1321,448,67
2/20/2019,6684,4.40999984741211,4.40999984741211,0,0,0,4.40000009536743,0,0,0,348,837,2238,3,1322,489,69
2/21/2019,5320,3.51999998092651,3.51999998092651,0,0,0,3.5,0,0,0,283,780,2002,6,1323,360,69
2/22/2019,6606,4.32999992370605,4.32999992370605,0,0,0,4.32000017166138,0,0,0,344,763,2198,8,1324,501,72
2/23/2019,5964,3.94000005722046,3.94000005722046,0,0,0,3.9300000667572,0,0,0,292,734,2117,6,1324,409,73
2/24/2019,6735,4.40000009536743,4.40000009536743,0,0.009999999776483,0.259999990463257,4.11999988555908,0,1,33,349,685,2444,6,1325,664,74
2/25/2019,12133,8.23999977111816,8.23999977111816,0,3.84999990463257,1.36000001430511,3.00999999046326,0,50,27,221,1065,2350,16,1326,687,74
2/26/2019,6921,4.59000015258789,4.59000015258789,0,0,0,4.57000017166138,0,0,0,348,796,2112,7,1326,428,76
2/27/2019,5667,3.75,3.75,0,0,0,3.73000001907349,0,0,0,344,809,2121,6,1327,441,74
2/28/2019,8689,5.75,5.75,0,0,0,5.67999982833862,0,0,0,372,993,2284,12,1327,544,74
3/1/2019,1109,0.730000019073486,0.730000019073486,0,0,0,0.730000019073486,0,0,0,51,1102,1500,0,1328,70,71
3/2/2019,7897,5.19000005722046,5.19000005722046,0,0.03999999910593,0.119999997317791,5.01000022888184,0,2,6,314,1118,2256,15,1328,548,72
3/3/2019,6374,4.21000003814697,4.21000003814697,0,0,0,4.19999980926514,0,0,0,313,942,2219,8,1328,492,73
3/4/2019,10095,6.6399998664856,6.6399998664856,0,0.930000007152557,0.610000014305115,5.07000017166138,0,13,10,419,756,2434,9,1328,632,71
3/5/2019,7238,4.78999996185303,4.78999996185303,0,0,0,4.76999998092651,0,0,0,371,776,2226,6,1329,486,74
3/6/2019,6497,4.30000019073486,4.30000019073486,0,0,0,4.28000020980835,0,0,0,328,1112,2141,4,1329,432,74
3/7/2019,7096,4.69000005722046,4.69000005722046,0,0,0,4.67999982833862,0,0,0,332,811,2121,8,1329,434,73
3/8/2019,9302,6.1399998664856,6.1399998664856,0,0.129999995231628,0.400000005960464,5.57999992370605,0,2,7,393,614,2332,13,1329,574,73
3/9/2019,8255,5.46000003814697,5.46000003814697,0,0.239999994635582,0.490000009536743,4.69999980926514,0,4,15,341,436,2315,15,1330,600,75
3/10/2019,5594,3.70000004768372,3.70000004768372,0,0.52999997138977,1.11000001430511,2.04999995231628,0,9,30,186,870,2068,8,1330,422,76
3/11/2019,5286,3.5,3.5,0,0,0,3.48000001907349,0,0,0,273,810,2016,5,1330,351,75
3/12/2019,6764,4.46999979019165,4.46999979019165,0,0,0,4.44999980926514,0,0,0,351,742,2165,4,1330,467,73
3/13/2019,7204,4.76000022888184,4.76000022888184,0,0.059999998658895,0.349999994039536,4.34000015258789,0,1,6,325,1108,2106,8,1330,432,73
3/14/2019,7638,4.98000001907349,4.98000001907349,0,0,0,4.96000003814697,0,0,10,398,637,2322,8,1331,590,71
3/15/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1378,0,1331,0,
3/16/2019,6985,4.59999990463257,4.59999990463257,0,0.46000000834465,0.730000019073486,3.39000010490417,0,7,18,199,1216,2007,20,1331,385,72
3/17/2019,4829,3.19000005722046,3.19000005722046,0,0,0,3.1800000667572,0,0,0,209,734,1947,11,1331,320,70
3/18/2019,6969,4.6100001335144,4.6100001335144,0,0.550000011920929,0.519999980926514,3.52999997138977,0,8,9,230,817,1995,9,1331,397,68
3/19/2019,7001,4.63000011444092,4.63000011444092,0,0,0,4.6100001335144,0,0,0,299,1141,2045,6,1331,414,68
3/20/2019,5774,3.8199999332428,3.8199999332428,0,0,0,3.79999995231628,0,0,0,265,890,2014,4,1332,363,65
3/21/2019,6839,4.48000001907349,4.48000001907349,0,0,0,4.48000001907349,0,0,0,335,819,2220,11,1331,477,67
3/22/2019,6409,4.21999979019165,4.21999979019165,0,0,0,4.21999979019165,0,0,0,322,798,2229,8,1332,516,68
3/23/2019,4014,2.60999989509583,2.60999989509583,0,0,0,2.60999989509583,0,0,0,165,811,1821,6,1332,260,71
3/24/2019,3485,2.26999998092651,2.26999998092651,0,0,0,2.26999998092651,0,0,0,172,1168,1865,10,1332,276,72
3/25/2019,6666,4.40999984741211,4.40999984741211,0,0,0,4.3899998664856,0,0,0,328,765,2078,7,1332,406,73
3/26/2019,8827,5.84999990463257,5.84999990463257,0,0.790000021457672,1.00999999046326,4.03000020980835,0,11,16,323,786,2242,10,1332,543,75
3/27/2019,6346,4.19999980926514,4.19999980926514,0,0,0,4.17999982833862,0,0,0,294,780,2076,5,1332,421,76
3/28/2019,7904,5.21000003814697,5.21000003814697,0,0,0,5.19000005722046,0,0,0,397,546,2355,8,1333,580,78
3/29/2019,6300,4.05999994277954,4.05999994277954,0,0,0,4.03999996185303,0,0,0,289,1151,2074,24,1332,418,79
3/30/2019,15849,10.460000038147,10.460000038147,0,1.87000000476837,1.77999997138977,6.75,0,26,29,404,620,2691,8,1332,881,76
3/31/2019,8905,5.8899998664856,5.8899998664856,0,0,0,5.86999988555908,0,0,0,393,746,2329,7,1333,564,76
4/1/2019,5348,3.53999996185303,3.53999996185303,0,0,0,3.51999998092651,0,0,0,255,1040,1994,15,1332,329,76
4/2/2019,8815,5.82999992370605,5.82999992370605,0,0.189999997615814,0.230000004172325,5.38000011444092,0,3,4,371,636,2233,8,1332,512,74
4/3/2019,5143,3.40000009536743,3.40000009536743,0,0,0,3.39000010490417,0,0,0,230,808,1882,3,1333,294,73
4/4/2019,13225,8.75,8.75,0,0.389999985694885,2.02999997138977,6.30000019073486,0,8,55,347,1030,2494,20,1333,744,73
4/5/2019,7264,4.80000019073486,4.80000019073486,0,0,0,4.78999996185303,0,0,0,337,665,2126,13,1333,453,72
4/6/2019,8143,5.36999988555908,5.36999988555908,0,0,0,5.3600001335144,0,0,0,277,822,2103,13,1333,433,70
4/7/2019,5867,3.88000011444092,3.88000011444092,0,0.180000007152557,0.300000011920929,3.39000010490417,0,3,10,315,617,2269,13,1333,573,69
4/8/2019,5465,3.60999989509583,3.60999989509583,0,0,0,3.59999990463257,0,0,0,274,1166,2029,11,1333,372,69
4/9/2019,7379,4.84999990463257,4.84999990463257,0,0,0,4.82999992370605,0,0,0,359,1081,2273,3,1333,516,69
4/10/2019,15166,10,10,0,0.990000009536743,1.57000005245209,7.42999982833862,0,16,29,355,1040,2545,57,1333,782,70
4/11/2019,7936,5.23999977111816,5.23999977111816,0,0,0,5.21999979019165,0,0,0,423,605,2380,9,1333,615,68
4/12/2019,6666,4.40999984741211,4.40999984741211,0,0,0,4.3899998664856,0,0,0,307,1133,2122,7,1333,441,68
4/13/2019,1483,0.980000019073486,0.980000019073486,0,0.050000000745058,0.03999999910593,0.889999985694885,0,18,21,165,1236,2065,2,1333,461,70
4/14/2019,3060,2.01999998092651,2.01999998092651,0,0,0,2.01999998092651,0,0,0,227,628,2002,10,1333,333,72
4/15/2019,7761,5.13000011444092,5.13000011444092,0,1.00999999046326,0.649999976158142,3.45000004768372,0,14,20,322,1084,2304,20,1333,576,73
4/16/2019,6449,4.23999977111816,4.23999977111816,0,0,0,4.21999979019165,0,0,0,337,571,2139,9,1334,439,72
4/17/2019,552,0.370000004768372,0.370000004768372,0,0,0,0.360000014305115,0,0,0,32,1408,1471,3,1333,48,
4/18/2019,8243,5.40999984741211,5.40999984741211,0,0,0,5.3899998664856,0,0,0,431,700,2408,5,1333,588,72
4/19/2019,4882,3.23000001907349,3.23000001907349,0,0,0.050000000745058,3.16000008583069,0,0,11,274,779,2220,12,1334,462,72
4/20/2019,5365,3.54999995231628,3.54999995231628,0,0,0,3.52999997138977,0,0,0,282,622,2059,6,1334,375,73
4/21/2019,5039,3.32999992370605,3.32999992370605,0,0,0,3.3199999332428,0,0,0,241,856,1982,9,1334,327,73
4/22/2019,4305,2.84999990463257,2.84999990463257,0,0,0,2.83999991416931,0,0,0,211,640,1948,8,1333,296,74
4/23/2019,8106,5.3899998664856,5.3899998664856,0,0,0.059999998658895,5.30999994277954,0,0,9,336,846,2249,7,1333,515,75
4/24/2019,5424,3.55999994277954,3.55999994277954,0,0,0,3.53999996185303,0,0,0,259,1181,2005,7,1334,355,74
4/25/2019,7142,4.59999990463257,4.59999990463257,0,0.109999999403954,0.25,4.23000001907349,0,3,5,359,1073,2260,9,1333,532,75
4/26/2019,6566,4.26999998092651,4.26999998092651,0,0,0,4.25,0,0,0,316,1124,2117,9,1334,433,74
4/27/2019,6443,4.19999980926514,4.19999980926514,0,0.119999997317791,0.150000005960464,3.92000007629395,0,3,9,322,649,2293,8,1333,564,71
4/28/2019,8382,5.51999998092651,5.51999998092651,0,0.059999998658895,0.77999997138977,4.65999984741211,0,1,18,291,652,2193,8,1334,550,69
4/29/2019,9415,6.23000001907349,6.23000001907349,0,0,0,6.21000003814697,0,0,0,363,1077,2232,9,1334,532,69
4/30/2019,4501,2.95000004768372,2.95000004768372,0,0,0,2.94000005722046,0,0,0,222,1218,1906,7,1334,303,69
5/1/2019,6561,4.34000015258789,4.34000015258789,0,0,0,4.32000017166138,0,0,0,347,469,2328,13,1334,561,69
5/2/2019,5651,3.69000005722046,3.69000005722046,0,0,0,3.6800000667572,0,0,0,294,840,2022,3,1334,361,68
5/3/2019,8235,5.3600001335144,5.3600001335144,0,0.28999999165535,0.209999993443489,4.84000015258789,0,4,6,370,1060,2305,5,1334,553,68
5/4/2019,9237,6.09999990463257,6.09999990463257,0,0.620000004768372,1.61000001430511,3.85999989509583,0,31,68,251,584,2541,22,1334,853,69
5/5/2019,6611,4.28000020980835,4.28000020980835,0,0.310000002384186,0.6700000166893,3.29999995231628,0,5,23,240,1172,2158,10,1334,499,70
5/6/2019,9185,6,6,0,0.050000000745058,0.310000002384186,5.63000011444092,0,1,6,366,1067,2353,23,1333,602,70
5/7/2019,8112,5.3600001335144,5.3600001335144,0,0,0.209999993443489,5.07000017166138,0,0,10,368,765,2316,16,1334,568,70
5/8/2019,7170,4.71999979019165,4.71999979019165,0,0,0.300000011920929,4.40000009536743,0,0,9,311,749,2117,9,1334,445,72
5/9/2019,6127,4.03999996185303,4.03999996185303,0,0,0,4.03000020980835,0,0,0,298,1142,2080,11,1334,424,72
5/10/2019,8584,5.63000011444092,5.63000011444092,0,0,0,5.59999990463257,0,0,0,393,719,2333,5,1334,570,71
5/11/2019,4900,3.24000000953674,3.24000000953674,0,0,0.100000001490116,3.08999991416931,0,0,10,270,712,2107,8,1334,417,72
5/12/2019,4311,2.76999998092651,2.76999998092651,0,0,0.25,2.50999999046326,0,0,5,192,833,1864,5,1334,253,73
5/13/2019,6827,4.51000022888184,4.51000022888184,0,0,0,4.5,0,0,0,376,670,2194,7,1334,454,75
5/14/2019,9604,6.32999992370605,6.32999992370605,0,0,0,6.28999996185303,0,0,0,350,770,2213,12,1334,524,75
5/15/2019,5095,3.36999988555908,3.36999988555908,0,0.03999999910593,0.029999999329448,3.28999996185303,0,13,19,252,740,2177,3,1334,499,75
5/16/2019,5462,3.60999989509583,3.60999989509583,0,0.019999999552965,0.109999999403954,3.47000002861023,0,1,21,290,703,2180,5,1334,467,77
5/17/2019,7434,4.92000007629395,4.92000007629395,0,0,0,4.90000009536743,0,0,0,349,753,2224,9,1334,494,79
5/18/2019,5138,3.39000010490417,3.39000010490417,0,0.140000000596046,0.419999986886978,2.8199999332428,0,5,16,228,786,2100,12,1334,422,79
5/19/2019,4082,2.69000005722046,2.69000005722046,0,0,0,2.6800000667572,0,0,0,199,1241,1910,12,1334,311,80
5/20/2019,7068,4.67000007629395,4.67000007629395,0,0,0,4.65000009536743,0,0,0,323,764,2214,12,1334,477,77
5/21/2019,7695,5.05999994277954,5.05999994277954,0,0,0.079999998211861,4.96000003814697,0,0,10,379,720,2331,14,1334,575,75
5/22/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
5/23/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
5/24/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
5/25/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
5/26/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
5/27/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1383,0,1335,0,
5/28/2019,6220,4.1100001335144,4.1100001335144,0,0,0,0,0,0,0,0,1440,2075,2,1334,0,
5/29/2019,4567,3,3,0,0,0,0,0,0,0,0,1440,1874,3,1334,0,
5/30/2019,5622,3.70000004768372,3.70000004768372,0,0,0,0,0,0,0,0,1440,2080,5,1335,0,
5/31/2019,5433,3.57999992370605,3.57999992370605,0,0,0,0,0,0,0,0,1440,1991,13,1334,0,
6/1/2019,572,0.379999995231628,0.379999995231628,0,0,0,0,0,0,0,0,1440,1458,0,1334,0,
6/2/2019,3141,2.03999996185303,2.03999996185303,0,0,0,0,0,0,0,0,1440,1795,7,1335,0,
6/3/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1383,0,1334,0,
6/4/2019,6220,4.1100001335144,4.1100001335144,0,0,0,0,0,0,0,0,1440,2023,16,1335,0,
6/5/2019,4230,2.77999997138977,2.77999997138977,0,0,0,0,0,0,0,0,1440,1916,4,1334,0,
6/6/2019,6411,4.21000003814697,4.21000003814697,0,0,0,0,0,0,0,0,1440,2050,6,1334,0,
6/7/2019,4424,2.9300000667572,2.9300000667572,0,0,0,0,0,0,0,0,1440,1908,4,1334,0,
6/8/2019,3390,2.21000003814697,2.21000003814697,0,0,0,0,0,0,0,0,1440,1771,7,1335,0,
6/9/2019,3004,1.97000002861023,1.97000002861023,0,0,0,0,0,0,0,0,1440,1709,2,1334,0,
6/10/2019,640,0.419999986886978,0.419999986886978,0,0,0,0,0,0,0,0,1440,1441,0,1335,0,
6/11/2019,585,0.389999985694885,0.389999985694885,0,0,0,0,0,0,0,0,1440,1509,0,1334,0,
6/12/2019,50,0.029999999329448,0.029999999329448,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/13/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/14/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
6/15/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/16/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/17/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
6/18/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/19/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/20/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/21/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/22/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
6/23/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
6/24/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/25/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
6/26/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/27/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/28/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/29/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
6/30/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/1/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/2/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/3/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/4/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/5/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/6/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/7/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/8/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/9/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/10/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
7/11/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
7/12/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1334,0,
7/13/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
7/14/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1381,0,1334,0,
7/15/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1383,0,1335,0,
7/16/2019,0,0,0,0,0,0,0,0,0,0,0,1440,1382,0,1335,0,
