ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
5/20/2019,5857,4.30999994277954,4.30999994277954,0,0,0,4.30999994277954,0,0,0,219,968,2213,9,1532,424,63
5/21/2019,4050,2.99000000953674,2.99000000953674,0,0.939999997615814,0.150000005960464,1.88999998569489,0,12,2,121,848,1941,4,1532,257,62
5/22/2019,7261,5.34999990463257,5.34999990463257,0,0.709999978542328,0.569999992847443,4.05000019073486,0,9,11,226,1194,2238,11,1532,461,
5/23/2019,5291,3.86999988555908,3.86999988555908,0,1.01999998092651,0.109999999403954,2.73000001907349,0,13,2,195,1230,2092,7,1532,344,62
5/24/2019,8312,6.13000011444092,6.13000011444092,0,0.990000009536743,0.300000011920929,4.82999992370605,0,13,6,282,840,2404,8,1532,556,62
5/25/2019,7888,5.80000019073486,5.80000019073486,0,1.0900000333786,0.129999995231628,4.55999994277954,0,14,6,266,892,2344,7,1532,510,61
5/26/2019,5978,4.40000009536743,4.40000009536743,0,1.01999998092651,0.109999999403954,3.25999999046326,0,13,2,196,796,2186,5,1532,387,60
5/27/2019,5494,4.05000019073486,4.05000019073486,0,1.08000004291534,0.029999999329448,2.94000005722046,0,14,1,166,911,2139,2,1532,370,59
5/28/2019,6015,4.44000005722046,4.44000005722046,0,1.02999997138977,0,3.40000009536743,0,13,0,198,805,2142,4,1532,378,58
5/29/2019,7189,5.30000019073486,5.30000019073486,0,0.870000004768372,0.079999998211861,4.34000015258789,0,11,2,257,991,2393,18,1532,519,59
5/30/2019,2578,1.89999997615814,1.89999997615814,0,0,0,1.88999998569489,0,0,0,128,907,1843,0,1532,164,58
5/31/2019,4461,3.25999999046326,3.25999999046326,0,1.01999998092651,0.109999999403954,2.11999988555908,0,13,2,151,695,2018,1,1532,303,60
6/1/2019,5129,3.77999997138977,3.77999997138977,0,1.02999997138977,0,2.71000003814697,0,13,0,191,789,2156,3,1532,372,59
6/2/2019,5000,3.69000005722046,3.69000005722046,0,0.990000009536743,0.46000000834465,2.23000001907349,0,13,9,151,933,2068,8,1532,333,59
6/3/2019,4055,2.99000000953674,2.99000000953674,0,0.170000001788139,0.270000010728836,2.53999996185303,0,3,6,173,616,2100,13,1532,298,60
6/4/2019,5095,3.75,3.75,0,0.810000002384186,0.209999993443489,2.72000002861023,0,10,3,151,1047,2072,3,1532,314,59
6/5/2019,6065,4.46999979019165,4.46999979019165,0,1.03999996185303,0.090000003576279,3.30999994277954,0,13,2,195,677,2167,6,1532,406,59
6/6/2019,6933,5.1100001335144,5.1100001335144,0,1.37000000476837,0.759999990463257,2.97000002861023,0,20,15,201,868,2281,24,1532,474,58
6/7/2019,5239,3.85999989509583,3.85999989509583,0,1.04999995231628,0.029999999329448,2.76999998092651,0,13,1,160,1011,2039,2,1532,310,58
6/8/2019,4950,3.65000009536743,3.65000009536743,0,1.12000000476837,0.109999999403954,2.41000008583069,0,14,3,160,758,2074,5,1532,318,55
6/9/2019,7101,5.21999979019165,5.21999979019165,0,1.10000002384186,0.059999998658895,4.03999996185303,0,14,1,229,674,2324,7,1532,479,56
6/10/2019,7537,5.55999994277954,5.55999994277954,0,0.97000002861023,0.090000003576279,4.48000001907349,0,12,2,258,768,2306,6,1532,487,56
6/11/2019,8145,6.01000022888184,6.01000022888184,0,0.97000002861023,0.100000001490116,4.92000007629395,0,12,2,299,841,2489,18,1532,584,57
6/12/2019,8439,6.21999979019165,6.21999979019165,0,0,0.270000010728836,5.94000005722046,0,0,8,315,771,2404,11,1532,539,58
6/13/2019,4206,3.09999990463257,3.09999990463257,0,0,0,3.08999991416931,0,0,0,192,905,2080,0,1532,311,59
6/14/2019,4690,3.46000003814697,3.46000003814697,0,0,0,3.45000004768372,0,0,0,242,610,2131,1,1532,348,58
6/15/2019,6081,4.48000001907349,4.48000001907349,0,0,0,4.46999979019165,0,0,0,317,589,2343,2,1532,465,57
6/16/2019,3598,2.65000009536743,2.65000009536743,0,0,0,2.64000010490417,0,0,0,196,1081,2170,6,1532,327,58
6/17/2019,4185,3.08999991416931,3.08999991416931,0,0,0,3.07999992370605,0,0,0,210,730,2107,6,1532,312,56
6/18/2019,5590,4.11999988555908,4.11999988555908,0,0.129999995231628,0.449999988079071,3.52999997138977,0,2,16,200,746,2273,8,1532,447,57
6/19/2019,6964,5.1399998664856,5.1399998664856,0,1.37000000476837,0.219999998807907,3.52999997138977,0,30,9,234,754,2648,9,1532,691,59
6/20/2019,6444,4.75,4.75,0,1.01999998092651,0.070000000298023,3.65000009536743,0,13,1,210,824,2189,7,1532,424,58
6/21/2019,5839,4.30999994277954,4.30999994277954,0,1.01999998092651,0,3.26999998092651,0,13,1,230,746,2180,8,1532,374,58
